timestep,speed,
36.1,0,0
36.2,0,0
36.3,0,0
36.4,0,0
36.5,0,0
36.6,0,0
36.7,0,0
36.8,0,0
36.9,0,0
37,0,0
37.1,0,0
37.2,0,0
37.3,0,0
37.4,0,0
37.5,0,0
37.6,0,0
37.7,0,0
37.8,0,0
37.9,0,0
38,0,0
38.1,0,0
38.2,0,0
38.3,0,0
38.4,0,0
38.5,0,0
38.6,0,0
38.7,0,0
38.8,0,0
38.9,0,0
39,0,0
39.1,0,0
39.2,0,0
39.3,0,0
39.4,0,0
39.5,0,0
39.6,0,0
39.7,0,0
39.8,0,0
39.9,0,0
40,0,0
40.1,0,0
40.2,0,0
40.3,0,0
40.4,0,0
40.5,0,0
40.6,0,0
40.7,0,0
40.8,0,0
40.9,0,0
41,0,0
41.1,0,0
41.2,0,0
41.3,0,0
41.4,0,0
41.5,0,0
41.6,0,0
41.7,0,0
41.8,0,0
41.9,0,0
42,0,0
42.1,0,0
42.2,0,0
42.3,0,0
42.4,0,0
42.5,0,0
42.6,0,0
42.7,0,0
42.8,0,0
42.9,0,0
43,0,0
43.1,0,0
43.2,0,0
43.3,0,0
43.4,0,0
43.5,0,0
43.6,0,0
43.7,0,0
43.8,0,0
43.9,0,0
44,0,0
44.1,0,0
44.2,0,0
44.3,0,0
44.4,0,0
44.5,0,0
44.6,0,0
44.7,0,0
44.8,0,0
44.9,0,0
45,0,0
45.1,0,0
45.2,0,0
45.3,0,0
45.4,0,0
45.5,0,0
45.6,0,0
45.7,0,0
45.8,0,0
45.9,0,0
46,0,0
46.1,0,0
46.2,0,0
46.3,0,0
46.4,0,0
46.5,0,0
46.6,0,0
46.7,0,0
46.8,0,0
46.9,0,0
47,0,0
47.1,0,0
47.2,0,0
47.3,0,0
47.4,0,0
47.5,0,0
47.6,0,0
47.7,0,0
47.8,0,0
47.9,0,0
48,0,0
48.1,0.0357632000000005,0.00357632000000005
48.2,0.071526400000001,0.0071526400000001
48.3,0.107289600000002,0.0107289600000002
48.4,0.143052800000002,0.0143052800000002
48.5,0.178816,0.0178816
48.6,0.2145792,0.02145792
48.7,0.250342400000001,0.0250342400000001
48.8,0.286105600000002,0.0286105600000002
48.9,0.321868800000002,0.0321868800000002
49,0.357632,0.0357632
49.1,0.733145600000005,0.0733145600000005
49.2,1.10865920000001,0.110865920000001
49.3,1.48417280000002,0.148417280000002
49.4,1.85968640000002,0.185968640000002
49.5,2.2352,0.22352
49.6,2.6107136,0.26107136
49.7,2.98622720000001,0.298622720000001
