timestep,speed
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.4,0.0
16.5,0.0
16.6,0.0
16.7,0.0
16.8,0.0
16.9,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.4,0.0
17.5,0.0
17.6,0.0
17.7,0.0
17.8,0.0
17.9,0.0
18.0,0.0
18.1,0.0
18.2,0.0
18.3,0.0
18.4,0.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,0.0
18.9,0.0
19.0,0.0
19.1,0.0
19.2,0.0
19.3,0.0
19.4,0.0
19.5,0.0
19.6,0.0
19.7,0.0
19.8,0.0
19.9,0.0
20.0,0.0
20.1,0.0
20.2,0.0
20.3,0.0
20.4,0.0
20.5,0.0
20.6,0.0
20.7,0.0
20.8,0.0
20.9,0.0
21.0,0.0
21.1,0.0
21.2,0.0
21.3,0.0
21.4,0.0
21.5,0.0
21.6,0.0
21.7,0.0
21.8,0.0
21.9,0.0
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
22.7,0.0
22.8,0.0
22.9,0.0
23.0,0.0
23.1,0.0
23.2,0.0
23.3,0.0
23.4,0.0
23.5,0.0
23.6,0.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,0.0
24.1,0.0
24.2,0.0
24.3,0.0
24.4,0.0
24.5,0.0
24.6,0.0
24.7,0.0
24.8,0.0
24.9,0.0
25.0,0.0
25.1,0.0
25.2,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,0.0
25.7,0.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.2,0.0
26.3,0.0
26.4,0.0
26.5,0.0
26.6,0.0
26.7,0.0
26.8,0.0
26.9,0.0
27.0,0.0
27.1,0.0
27.2,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,0.0
28.5,0.0
28.6,0.0
28.7,0.0
28.8,0.0
28.9,0.0
29.0,0.0
29.1,0.0
29.2,0.0
29.3,0.0
29.4,0.0
29.5,0.0
29.6,0.0
29.7,0.0
29.8,0.0
29.9,0.0
30.0,0.0912575367150707
30.1,0.0534269329965706
30.2,0.06171845304916
30.3,0.0444225675175871
30.4,0.0478107479325737
30.5,0.0512970318345058
30.6,0.044096528816556
30.7,0.0447436108827784
30.8,0.0439725681142629
30.9,0.0457667402941664
31.0,0.0458208479154698
31.1,0.0447403850385247
31.2,0.0487602297541174
31.3,0.0484064293202918
31.4,0.0506312234799472
31.5,0.0492480363187292
31.6,0.0516298861239799
31.7,0.056215251490754
31.8,0.0495865312627792
31.9,0.0541968286784956
32.0,0.0494738358533707
32.1,0.0498786236713501
32.2,0.053188336701884
32.3,0.0476816127232587
32.4,0.0494811816764065
32.5,0.0504990337036511
32.6,0.0484978517648847
32.7,0.0493805835630365
32.8,0.051794491747925
32.9,0.0496035860775712
33.0,0.051616273356803
33.1,0.0493396282668058
33.2,0.0483275788590307
33.3,0.0509908566946374
33.4,0.049435394062373
33.5,0.0527760508561021
33.6,0.0504692200060188
33.7,0.0501695581246772
33.8,0.0516104893543248
33.9,0.0503945868527494
34.0,0.0521469224574892
34.1,0.049816913398403
34.2,0.0486669374495109
34.3,0.0487355784344001
34.4,0.0482667346953371
34.5,0.0509172349667958
34.6,0.0468108968356041
34.7,0.0479642966163773
34.8,0.0494648759568726
34.9,0.0473093436738463
35.0,0.0484619769495037
35.1,0.0474512661458282
35.2,0.0480746091378484
35.3,0.0445302208172482
35.4,0.0435620183967364
35.5,0.0439639395231073
35.6,0.0425308470324241
35.7,0.0432576648222025
35.8,0.0415530465904779
35.9,0.0417584552515552
36.0,0.0453798677591744
36.1,0.0393987116984379
36.2,0.0421755761924062
36.3,0.0375380328011629
36.4,0.0384662742200005
36.5,0.0371962904162769
36.6,0.0356413120116117
36.7,0.0380658453973541
36.8,0.0357042396053946
36.9,0.0353740170703514
37.0,0.0390085800109368
37.1,0.0347709644516088
37.2,0.0354551336543333
37.3,0.0354924984197814
37.4,0.0328644888223248
37.5,0.0364431651934595
37.6,0.0337511586508129
37.7,0.0337156868394291
37.8,0.0346542273248577
37.9,0.0333363703900585
38.0,0.0372802608037947
38.1,0.0339101018656609
38.2,0.0339797647409746
38.3,0.0330757924909453
38.4,0.0329748786307713
38.5,0.0329685577724795
38.6,0.0316875597892087
38.7,0.0343263248013575
38.8,0.0331778641580279
38.9,0.0353285415024406
39.0,0.0334709643945258
39.1,0.0332416080884246
39.2,0.0375422160070983
39.3,0.0338267351704142
39.4,0.0352088039611957
39.5,0.0421729881871633
39.6,0.0328084523964559
39.7,0.0372504674570833
39.8,0.0313804380042017
39.9,0.0369528495868041
40.0,0.0325145221225954
40.1,0.035316742065557
40.2,0.0421256300906211
40.3,0.0339027004156543
40.4,0.0374727727030369
40.5,0.0337662103580668
40.6,0.0359574613553867
40.7,0.0432664616580443
40.8,0.0360589185624994
40.9,0.0401050252191382
