timestep,speed
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.4,0.0
16.5,0.0
16.6,0.0
16.7,0.0
16.8,0.0
16.9,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.4,0.0
17.5,0.0
17.6,0.0
17.7,0.0
17.8,0.0
17.9,0.0
18.0,0.0
18.1,0.0
18.2,0.0
18.3,0.0
18.4,0.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,0.0
18.9,0.0
19.0,0.0
19.1,0.0
19.2,0.0
19.3,0.0
19.4,0.0
19.5,0.0
19.6,0.0
19.7,0.0
19.8,0.0
19.9,0.0
20.0,0.0
20.1,0.0
20.2,0.0
20.3,0.0
20.4,0.0
20.5,0.0
20.6,0.0
20.7,0.0
20.8,0.0
20.9,0.0
21.0,0.0
21.1,0.0
21.2,0.0
21.3,0.0
21.4,0.0
21.5,0.0
21.6,0.0
21.7,0.0
21.8,0.0
21.9,0.0
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
22.7,0.0
22.8,0.0
22.9,0.0
23.0,0.0
23.1,0.0
23.2,0.0
23.3,0.0
23.4,0.0
23.5,0.0
23.6,0.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,0.0
24.1,0.0
24.2,0.0
24.3,0.0
24.4,0.0
24.5,0.0
24.6,0.0
24.7,0.0
24.8,0.0
24.9,0.0
25.0,0.0
25.1,0.0
25.2,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,0.0
25.7,0.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.2,0.0
26.3,0.0
26.4,0.0
26.5,0.0
26.6,0.0
26.7,0.0
26.8,0.0
26.9,0.0
27.0,0.0
27.1,0.0
27.2,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,0.0
28.5,0.0
28.6,0.0
28.7,0.0
28.8,0.0
28.9,0.0
29.0,0.0
29.1,0.0
29.2,0.0
29.3,0.0
29.4,0.0
29.5,0.0
29.6,0.0
29.7,0.0
29.8,0.0
29.9,0.0
30.0,0.0384035398076002
30.1,0.0824510235519017
30.2,0.135371253348469
30.3,0.218219135514685
30.4,0.374416301124813
30.5,0.525001598386104
30.6,0.719964687436593
30.7,0.922572837028153
30.8,1.1000703422067
30.9,1.30685918876527
31.0,1.49018325762133
31.1,1.69538967670183
31.2,1.90392001111126
31.3,2.08321904367186
31.4,2.28764114162729
31.5,2.45868945643394
31.6,2.64971973859951
31.7,2.83819639154124
31.8,3.00676781613909
31.9,3.20205594828771
32.0,3.36437365003072
32.1,3.55297914400432
32.2,3.73103657560456
32.3,3.90506788168906
32.4,4.06702855528333
32.5,4.24744530055801
32.6,4.41595264758798
32.7,4.58318707369832
32.8,4.73931430966466
32.9,4.89426068989058
33.0,5.05422739585229
33.1,5.20758731288966
33.2,5.35016593502531
33.3,5.50705608181407
33.4,5.63897272466105
33.5,5.79177747068947
33.6,5.91748876149498
33.7,6.04865436758792
33.8,6.19864235610435
33.9,6.32272464125984
34.0,6.47062827249019
34.1,6.58875667262946
34.2,6.71791286406597
34.3,6.84373734284137
34.4,6.95540369293545
34.5,7.06990821082828
34.6,7.16788709034605
34.7,7.25538595598576
34.8,7.3677744118277
34.9,7.45663671531877
35.0,7.56037331847883
35.1,7.64859987878363
35.2,7.73514472534529
35.3,7.83673336589346
35.4,7.92494823682004
35.5,8.02848548148413
35.6,8.10544873766473
35.7,8.17273042377973
35.8,8.24270996112909
35.9,8.25452338124079
36.0,8.27837187322844
36.1,8.25387455455856
36.2,8.22705217662361
36.3,8.26886153802096
36.4,8.27298948611376
36.5,8.31306604765346
36.6,8.31510983856504
36.7,8.31429738178448
36.8,8.35047573521027
36.9,8.3647986287105
37.0,8.38484624557783
37.1,8.39936921089376
37.2,8.40383513751253
37.3,8.42935397229048
37.4,8.43977963620559
37.5,8.46185331888121
37.6,8.47655703503208
37.7,8.48582103859551
37.8,8.50966705665203
37.9,8.5216045387806
38.0,8.53788993230148
38.1,8.54873120780304
38.2,8.56010061151479
38.3,8.57818855287659
38.4,8.58905691609531
38.5,8.61119946754935
38.6,8.62315527432233
38.7,8.62566611222445
38.8,8.61400707684621
38.9,8.5852868332624
39.0,8.55283737898104
39.1,8.51467912804486
39.2,8.47148411013708
39.3,8.42986733821464
39.4,8.39102063609186
39.5,8.34754297852167
39.6,8.30500026712227
39.7,8.2645345399165
39.8,8.22133401451183
39.9,8.18078390642831
40.0,8.13403415848751
40.1,8.09256752706042
40.2,8.05437275332415
40.3,7.99682350551197
40.4,7.95547047467511
40.5,7.88369860655206
40.6,7.83052938965531
40.7,7.77682373193184
40.8,7.69090087711272
40.9,7.62193348057303
41.0,7.53026104147048
41.1,7.45095298234642
41.2,7.37236843484687
41.3,7.28162726198306
41.4,7.19692752357785
41.5,7.09622921144136
41.6,6.99452259894084
41.7,6.88937094004587
41.8,6.77413302749057
